"year","country","country_code","category","value","category_code","category_clean_name"
2014,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,393126.946994288,co2,Carbon Dioxide
2013,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,396913.93653029,co2,Carbon Dioxide
2012,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,406462.8477036,co2,Carbon Dioxide
2011,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,403705.528313991,co2,Carbon Dioxide
2010,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,406200.993184341,co2,Carbon Dioxide
2009,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,408448.47899963,co2,Carbon Dioxide
2008,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,404237.828214077,co2,Carbon Dioxide
2007,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,398816.453543549,co2,Carbon Dioxide
2006,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,391134.100909449,co2,Carbon Dioxide
2005,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,385581.132806466,co2,Carbon Dioxide
2004,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,381519.261592783,co2,Carbon Dioxide
2003,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,368345.977425107,co2,Carbon Dioxide
2002,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,361861.387896028,co2,Carbon Dioxide
2001,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,357653.329899303,co2,Carbon Dioxide
2000,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,349885.433108928,co2,Carbon Dioxide
1999,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,343713.906947774,co2,Carbon Dioxide
1998,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,334328.142646602,co2,Carbon Dioxide
1997,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,320439.116819391,co2,Carbon Dioxide
1996,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,311914.819824229,co2,Carbon Dioxide
1995,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,305162.543548735,co2,Carbon Dioxide
1994,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,293830.709141192,co2,Carbon Dioxide
1993,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,289142.267681326,co2,Carbon Dioxide
1992,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,284766.092717838,co2,Carbon Dioxide
1991,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,279741.639011863,co2,Carbon Dioxide
1990,Australia,AU,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,278265.898940768,co2,Carbon Dioxide
2014,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,64262.5639931315,co2,Carbon Dioxide
2013,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,67957.1211123863,co2,Carbon Dioxide
2012,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,67698.6586349119,co2,Carbon Dioxide
2011,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,70327.1670444138,co2,Carbon Dioxide
2010,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,72531.826129136,co2,Carbon Dioxide
2009,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,67682.7251493548,co2,Carbon Dioxide
2008,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,74066.2557920763,co2,Carbon Dioxide
2007,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,74268.1107226333,co2,Carbon Dioxide
2006,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,76934.9515340371,co2,Carbon Dioxide
2005,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,79588.5018807541,co2,Carbon Dioxide
2004,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,78388.9974250799,co2,Carbon Dioxide
2003,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,78023.9538963192,co2,Carbon Dioxide
2002,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,72126.5914446168,co2,Carbon Dioxide
2001,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,70299.4711482287,co2,Carbon Dioxide
2000,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,66274.7432545115,co2,Carbon Dioxide
1999,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,65660.1336422327,co2,Carbon Dioxide
1998,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,67047.2506680177,co2,Carbon Dioxide
1997,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,67455.8927304212,co2,Carbon Dioxide
1996,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,67667.2626980903,co2,Carbon Dioxide
1995,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,64202.1592201769,co2,Carbon Dioxide
1994,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,61189.1025048542,co2,Carbon Dioxide
1993,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,60790.7577213156,co2,Carbon Dioxide
1992,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,60432.2493410185,co2,Carbon Dioxide
1991,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,65903.513308256,co2,Carbon Dioxide
1990,Austria,AT,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,62297.1655681668,co2,Carbon Dioxide
2014,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,60615.645730992,co2,Carbon Dioxide
2013,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,61510.987153813,co2,Carbon Dioxide
2012,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,60636.851387067,co2,Carbon Dioxide
2011,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,61128.400592577,co2,Carbon Dioxide
2010,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,61632.492704327,co2,Carbon Dioxide
2009,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,59596.205375555,co2,Carbon Dioxide
2008,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,63846.103794367,co2,Carbon Dioxide
2007,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,61563.881729088,co2,Carbon Dioxide
2006,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,62229.398882869,co2,Carbon Dioxide
2005,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,59664.73908178,co2,Carbon Dioxide
2004,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,58457.64761596,co2,Carbon Dioxide
2003,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,54845.145835185,co2,Carbon Dioxide
2002,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,53843.704423847,co2,Carbon Dioxide
2001,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,53783.847673632,co2,Carbon Dioxide
2000,Belarus,BY,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,53686.857490672,co2,Carbon Dioxide
